respondent_id,site_id,company_id,GPUR_1,GPUR_2,GPUR_3,GPUR_4,GOPS_1,GOPS_2,GOPS_3,GOPS_4,GLOG_1,GLOG_2,GLOG_3,GTRN_1,GTRN_2,GTRN_3,GCOL_1,GCOL_2,GCOL_3,SUPINT_1,SUPINT_2,SUPINT_3,MAINT_1,MAINT_2,MAINT_3,COMP_1,COMP_2,COMP_3,OE_1,OE_2,OE_3,OE_4,OE_5,EP_1,EP_2,EP_3,EP_4,EP_5
SYN_003_R5,SYN_003,SyntheticCo,2,4,5,4,3,4,3,4,4,4,5,4,4,3,4,5,3,3,5,4,4,3,4,4,4,5,4,3,3,4,3,4,3,4,2,3
SYN_004_R1,SYN_004,SyntheticCo,3,3,4,4,3,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,3
SYN_004_R2,SYN_004,SyntheticCo,5,5,4,4,2,3,3,3,4,5,3,3,4,5,3,4,5,3,4,4,4,4,4,3,4,4,5,4,4,4,4,4,3,4,3,4
SYN_004_R3,SYN_004,SyntheticCo,3,4,3,3,4,4,3,5,4,4,4,4,4,4,4,5,4,3,5,5,4,3,4,4,4,3,4,4,3,4,5,4,4,4,4,3
SYN_004_R4,SYN_004,SyntheticCo,4,4,5,4,5,3,4,4,3,4,5,4,3,4,4,4,4,3,3,5,4,2,4,4,4,3,5,4,5,4,4,4,5,4,5,4
SYN_004_R5,SYN_004,SyntheticCo,4,4,4,5,3,3,4,3,4,2,3,3,2,3,4,4,5,4,4,4,5,3,3,4,4,4,4,4,3,4,4,3,3,4,4,3
SYN_005_R1,SYN_005,SyntheticCo,3,3,1,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,2,1,3,3,1,1,2,3,3,2,2,2,2,2,2,4,4,3
SYN_005_R2,SYN_005,SyntheticCo,2,3,3,3,2,2,2,2,2,1,2,2,2,4,4,4,3,4,3,3,1,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2
SYN_005_R3,SYN_005,SyntheticCo,3,3,2,3,2,2,2,1,2,2,2,3,3,3,3,2,3,3,3,2,2,2,2,3,2,3,2,1,2,3,1,1,1,2,2,2
SYN_005_R4,SYN_005,SyntheticCo,3,1,3,4,1,1,1,1,2,3,3,2,4,3,4,3,3,3,5,3,2,3,2,2,3,2,2,2,2,2,1,3,2,2,2,3
SYN_005_R5,SYN_005,SyntheticCo,2,3,2,2,1,1,2,1,3,2,1,1,3,3,3,3,3,3,2,2,1,2,3,2,1,1,2,2,2,2,2,3,2,2,3,2
SYN_006_R1,SYN_006,SyntheticCo,3,3,3,4,2,4,3,2,3,2,3,3,3,2,4,4,4,4,4,3,3,2,3,3,3,4,3,3,3,3,3,3,3,4,3,3
SYN_006_R2,SYN_006,SyntheticCo,2,3,3,3,3,3,3,3,3,3,3,1,3,1,2,3,4,3,3,4,3,4,3,3,4,3,2,3,3,2,3,2,3,3,2,3
SYN_006_R3,SYN_006,SyntheticCo,3,3,2,2,3,2,2,3,3,2,3,3,3,3,2,3,3,3,4,5,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,2
SYN_006_R4,SYN_006,SyntheticCo,3,3,2,4,2,2,2,2,3,3,3,3,3,3,3,4,2,3,2,4,3,4,4,3,3,3,3,3,4,3,3,3,2,3,3,3
SYN_006_R5,SYN_006,SyntheticCo,2,2,3,3,2,3,2,3,3,5,2,3,3,3,3,3,3,5,3,4,3,3,2,3,4,3,3,2,3,2,2,3,3,4,2,3
SYN_007_R1,SYN_007,SyntheticCo,3,3,4,3,4,4,3,3,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,2,3,2,3,4,4,4,3,2,3,3,3
SYN_007_R2,SYN_007,SyntheticCo,4,3,4,3,4,4,4,4,4,3,5,3,3,2,3,3,3,4,3,4,4,4,4,3,4,1,2,3,3,4,3,3,4,4,3,4
SYN_007_R3,SYN_007,SyntheticCo,3,3,4,3,4,5,3,3,3,3,3,2,2,3,5,4,3,3,3,2,4,3,4,2,2,3,3,3,2,4,3,3,3,2,3,3
SYN_007_R4,SYN_007,SyntheticCo,4,3,4,4,4,5,5,5,3,3,5,2,2,3,4,3,3,3,3,3,5,4,4,2,3,2,2,2,2,2,2,4,3,4,3,3
SYN_007_R5,SYN_007,SyntheticCo,3,4,4,3,4,4,4,3,3,4,4,3,3,3,4,4,4,3,4,3,4,4,3,2,3,2,4,4,3,3,3,3,3,3,4,3
SYN_008_R1,SYN_008,SyntheticCo,4,4,4,3,3,3,3,4,4,4,4,4,3,4,3,3,3,4,3,3,4,2,2,4,3,3,2,3,4,3,3,3,3,2,4,4
SYN_008_R2,SYN_008,SyntheticCo,3,3,3,3,3,2,4,4,3,2,3,4,2,3,2,3,3,3,3,4,3,3,2,4,3,3,3,2,3,4,3,2,3,4,2,3
SYN_008_R3,SYN_008,SyntheticCo,4,4,4,5,4,4,5,3,3,4,4,3,3,5,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,2,4,3,4,3,4
SYN_008_R4,SYN_008,SyntheticCo,4,4,3,4,4,2,3,4,4,4,4,4,4,2,3,3,2,3,4,2,3,3,3,4,3,3,2,4,3,3,3,3,4,3,3,3
SYN_008_R5,SYN_008,SyntheticCo,3,4,4,4,3,4,3,5,3,4,4,3,5,4,4,3,3,3,3,4,3,3,4,4,4,4,3,2,2,2,3,3,3,2,3,4
SYN_009_R1,SYN_009,SyntheticCo,3,3,2,4,3,3,5,4,3,3,3,4,3,3,4,4,5,3,4,4,4,3,3,4,4,4,3,3,3,3,4,4,3,2,3,3
SYN_009_R2,SYN_009,SyntheticCo,4,2,3,4,3,4,3,3,4,3,4,3,4,3,3,4,3,3,3,3,4,3,4,3,3,3,5,4,4,4,3,3,5,3,3,4
SYN_009_R3,SYN_009,SyntheticCo,4,2,2,3,3,4,3,2,2,1,3,3,3,4,4,3,2,4,4,4,4,3,5,3,4,3,3,5,4,4,4,3,4,3,2,3
SYN_009_R4,SYN_009,SyntheticCo,3,3,2,3,3,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,4,2,3,4,4,4,3,3,4,5,3,4,4,3,4,3
SYN_009_R5,SYN_009,SyntheticCo,3,2,2,4,3,3,2,2,3,3,3,4,4,4,5,3,4,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,5,2,3,3
SYN_010_R1,SYN_010,SyntheticCo,3,2,3,3,3,4,2,4,3,4,2,3,4,4,3,3,2,3,2,2,3,4,2,4,3,4,3,4,3,3,3,4,3,3,3,2
SYN_010_R2,SYN_010,SyntheticCo,3,1,3,2,5,3,3,4,4,3,3,4,4,3,3,2,3,3,2,1,4,4,3,4,3,3,3,4,3,4,3,3,3,4,3,2
SYN_010_R3,SYN_010,SyntheticCo,2,2,2,3,3,5,2,3,2,3,3,2,4,5,3,3,3,2,2,1,4,3,3,4,3,3,4,3,4,3,3,4,4,3,3,3
SYN_010_R4,SYN_010,SyntheticCo,2,2,2,2,3,2,3,4,2,3,2,4,3,5,3,2,3,2,2,3,3,4,3,3,3,3,4,4,4,5,3,3,2,3,3,2
SYN_010_R5,SYN_010,SyntheticCo,2,2,2,3,3,5,3,3,2,4,4,4,3,4,2,4,3,3,1,2,4,4,4,3,4,4,2,3,4,3,2,3,3,3,3,3
SYN_011_R1,SYN_011,SyntheticCo,4,4,3,3,4,2,4,4,4,4,2,3,4,4,4,4,4,4,4,3,2,4,4,5,4,5,5,5,3,4,4,4,3,4,4,4
SYN_011_R2,SYN_011,SyntheticCo,4,3,4,3,3,4,4,3,3,2,4,4,4,5,4,4,4,4,4,3,3,4,4,4,5,4,5,5,4,4,4,4,3,4,4,3
SYN_011_R3,SYN_011,SyntheticCo,3,3,3,2,4,5,4,3,4,4,3,4,3,4,3,4,3,4,4,3,3,2,3,4,4,5,4,3,4,5,4,4,4,3,4,4
SYN_011_R4,SYN_011,SyntheticCo,3,4,3,4,4,2,4,2,3,4,3,3,4,5,3,5,4,3,3,3,4,4,3,4,4,5,3,5,4,3,4,3,3,4,3,2
SYN_011_R5,SYN_011,SyntheticCo,3,2,3,3,3,5,4,4,3,3,4,4,5,4,4,4,4,3,3,3,3,4,4,4,4,5,4,4,4,5,3,4,2,4,5,4
SYN_012_R1,SYN_012,SyntheticCo,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,3,3,5,4,3,4,4,3,4,3,3,4,4,3,5,4,4,5,4
SYN_012_R2,SYN_012,SyntheticCo,3,3,4,4,4,3,4,4,3,3,4,2,4,3,4,3,4,3,4,4,4,4,3,4,4,4,5,3,3,3,4,4,4,3,4,3
SYN_012_R3,SYN_012,SyntheticCo,4,5,3,4,3,3,3,3,3,5,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,3,2,3,4,4,3,4,4,4,4,3
SYN_012_R4,SYN_012,SyntheticCo,3,4,3,4,4,4,4,4,4,3,3,5,4,3,3,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4
SYN_012_R5,SYN_012,SyntheticCo,3,3,5,3,4,4,4,5,4,4,3,4,4,4,4,4,4,3,5,4,3,3,3,4,3,3,4,4,3,3,4,4,4,3,4,3
SYN_013_R1,SYN_013,SyntheticCo,3,3,4,4,4,4,5,3,2,3,2,3,3,3,4,4,4,4,4,3,5,4,2,3,2,3,3,3,5,4,4,3,3,3,3,2
SYN_013_R2,SYN_013,SyntheticCo,3,3,3,3,3,3,4,4,4,3,3,4,4,3,4,4,4,5,3,4,3,3,3,2,3,3,3,3,3,3,3,4,4,3,3,3
SYN_013_R3,SYN_013,SyntheticCo,2,4,3,3,4,4,3,3,4,2,2,4,4,3,3,3,3,4,3,3,4,2,4,3,3,3,4,4,2,3,3,3,3,4,4,3
SYN_013_R4,SYN_013,SyntheticCo,2,3,3,3,4,4,4,2,2,4,3,2,4,4,4,4,4,4,4,5,4,2,4,4,4,3,4,4,5,3,3,3,3,3,2,3
SYN_013_R5,SYN_013,SyntheticCo,3,3,4,3,4,4,4,4,4,3,3,4,3,4,5,3,4,4,4,4,2,4,2,4,3,4,3,2,4,3,3,3,5,4,4,4
SYN_014_R1,SYN_014,SyntheticCo,5,4,3,4,4,3,4,4,5,4,4,4,4,4,3,2,4,4,4,4,4,3,3,4,5,4,4,3,3,4,3,3,3,4,3,2
SYN_014_R2,SYN_014,SyntheticCo,4,3,4,4,4,4,3,4,4,3,3,4,5,4,2,4,3,4,3,3,3,3,3,4,3,4,3,3,3,2,3,3,2,3,3,4
SYN_014_R3,SYN_014,SyntheticCo,3,3,5,5,4,4,4,3,3,4,5,4,4,5,5,3,4,5,3,4,3,3,3,3,3,4,4,3,3,4,3,4,4,5,3,3
SYN_014_R4,SYN_014,SyntheticCo,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,2,3,4,3,4,3,3,3
SYN_014_R5,SYN_014,SyntheticCo,4,4,4,4,5,4,4,4,4,3,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,3,4,4,2
SYN_015_R1,SYN_015,SyntheticCo,4,5,4,3,5,4,4,4,4,3,4,4,4,4,3,4,3,3,4,4,4,4,3,4,4,3,3,4,2,3,2,3,3,2,4,3
SYN_015_R2,SYN_015,SyntheticCo,2,4,4,5,4,4,5,5,4,3,4,4,3,4,5,4,4,4,4,4,3,3,4,4,3,4,3,3,3,4,3,4,4,4,3,5
SYN_015_R3,SYN_015,SyntheticCo,4,4,3,3,5,4,3,5,3,4,3,4,4,3,3,3,4,3,3,4,3,3,2,3,4,4,3,4,3,3,4,3,3,3,4,4
SYN_015_R4,SYN_015,SyntheticCo,3,4,4,3,4,4,5,5,3,3,4,3,4,4,3,3,4,4,5,4,4,5,3,2,4,3,3,3,3,2,3,4,3,3,3,2
SYN_015_R5,SYN_015,SyntheticCo,3,4,3,3,4,4,4,5,3,4,3,4,5,4,2,4,4,4,4,3,3,4,2,3,4,2,2,2,3,3,4,4,4,3,4,3
SYN_016_R1,SYN_016,SyntheticCo,4,2,4,4,3,3,4,2,3,3,3,3,3,2,3,3,3,4,4,3,3,4,2,3,3,3,2,3,4,2,2,3,5,3,3,3
SYN_016_R2,SYN_016,SyntheticCo,3,3,5,4,3,4,3,2,3,3,3,3,3,3,3,3,2,4,4,3,3,3,4,4,3,2,3,4,3,3,2,5,4,4,4,4
SYN_016_R3,SYN_016,SyntheticCo,3,3,3,5,4,3,4,3,3,2,3,4,3,3,3,3,3,3,4,3,3,3,4,4,4,3,3,3,3,4,4,3,3,4,5,2
SYN_016_R4,SYN_016,SyntheticCo,3,2,3,3,3,3,3,3,2,3,3,4,2,3,4,2,3,3,5,5,2,5,3,4,4,3,3,3,3,3,4,4,3,4,4,4
SYN_016_R5,SYN_016,SyntheticCo,3,2,3,3,4,4,3,4,3,3,2,4,3,3,3,3,2,4,3,5,2,2,3,4,3,4,2,3,2,2,3,2,3,3,3,4
SYN_017_R1,SYN_017,SyntheticCo,4,5,4,5,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,5,3,3,4,3,4,4,4,3,3,4,3,5,3,2,4,5
SYN_017_R2,SYN_017,SyntheticCo,5,5,3,5,4,4,3,4,4,4,4,3,3,3,3,4,4,5,4,3,3,5,4,3,5,5,3,3,3,4,4,4,4,4,3,4
SYN_017_R3,SYN_017,SyntheticCo,4,2,3,3,4,4,4,5,3,4,4,3,3,2,4,3,5,4,5,4,4,3,4,4,3,4,3,5,3,4,3,4,3,3,4,4
SYN_017_R4,SYN_017,SyntheticCo,4,5,4,5,4,5,4,3,3,5,4,3,4,4,5,3,3,4,3,5,4,4,5,4,4,4,4,3,3,4,4,2,3,4,4,3
SYN_017_R5,SYN_017,SyntheticCo,4,4,4,3,3,4,4,4,3,4,5,4,3,3,3,4,4,4,4,4,4,4,4,4,4,5,4,3,3,3,3,3,3,3,3,3
SYN_018_R1,SYN_018,SyntheticCo,4,4,5,4,3,3,3,3,4,3,4,4,3,4,4,3,3,3,3,4,3,3,4,3,3,4,2,2,3,4,4,3,4,3,4,3
SYN_018_R2,SYN_018,SyntheticCo,4,3,5,4,2,3,3,4,3,3,4,4,3,3,3,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,4,3,4,4,3
SYN_018_R3,SYN_018,SyntheticCo,4,3,3,3,4,4,3,4,3,5,3,4,3,4,4,3,4,4,4,3,4,3,3,3,5,3,2,3,3,3,3,4,3,3,3,3
SYN_018_R4,SYN_018,SyntheticCo,3,3,4,4,4,3,3,2,4,3,4,4,3,3,3,4,4,3,3,3,3,3,3,3,4,3,3,4,2,3,4,3,3,4,3,4
SYN_018_R5,SYN_018,SyntheticCo,4,3,4,4,4,3,3,3,4,3,4,4,3,4,5,4,4,4,3,2,4,3,3,4,4,3,3,4,2,4,3,4,4,4,4,3
SYN_019_R1,SYN_019,SyntheticCo,5,4,4,4,4,4,4,3,5,4,5,4,3,4,4,4,4,5,4,4,4,3,4,5,4,4,2,4,4,3,4,3,3,3,2,3
SYN_019_R2,SYN_019,SyntheticCo,5,3,4,4,5,5,4,5,4,5,3,5,4,3,4,4,4,5,4,5,4,4,4,4,4,5,4,4,5,4,4,4,3,3,3,4
SYN_019_R3,SYN_019,SyntheticCo,4,4,5,5,4,4,5,5,3,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,5,4,3,3,4,4
SYN_019_R4,SYN_019,SyntheticCo,5,4,4,4,5,4,4,3,4,4,3,4,4,3,4,4,5,4,4,4,4,4,4,3,3,3,4,3,4,4,3,3,4,4,5,3
SYN_019_R5,SYN_019,SyntheticCo,4,4,4,4,3,4,4,3,4,3,4,4,3,4,3,4,5,5,4,5,3,3,4,5,4,4,2,2,4,3,3,4,4,4,4,4
SYN_020_R1,SYN_020,SyntheticCo,4,4,4,3,5,4,4,4,5,4,3,4,3,3,2,3,3,3,3,4,5,4,4,2,3,3,3,4,3,3,3,4,5,4,5,3
SYN_020_R2,SYN_020,SyntheticCo,4,3,4,4,4,3,3,3,4,5,5,2,4,3,2,3,4,3,2,3,2,3,4,3,2,3,4,4,4,4,4,4,4,4,3,3
SYN_020_R3,SYN_020,SyntheticCo,4,4,5,4,4,4,4,4,4,5,4,2,3,4,3,3,3,2,3,2,3,4,4,3,3,3,3,4,3,3,3,3,3,5,4,3
SYN_020_R4,SYN_020,SyntheticCo,3,4,5,4,5,4,4,3,4,4,4,2,3,3,3,3,3,3,4,4,3,4,3,2,3,2,4,3,3,4,4,3,4,4,3,4
SYN_020_R5,SYN_020,SyntheticCo,5,5,4,3,4,4,4,4,4,4,4,2,3,3,3,2,3,4,3,3,4,5,3,3,2,2,3,4,5,4,3,5,3,3,3,5
SYN_021_R1,SYN_021,SyntheticCo,4,5,2,4,3,4,2,4,4,3,3,3,3,3,2,4,4,3,3,3,4,3,3,4,4,5,3,3,4,4,4,4,3,3,3,2
SYN_021_R2,SYN_021,SyntheticCo,3,4,3,2,2,4,3,3,3,2,4,3,4,4,4,3,4,4,4,3,3,5,3,4,4,4,3,4,3,2,3,2,2,3,3,3
SYN_021_R3,SYN_021,SyntheticCo,4,2,2,4,2,3,3,3,3,3,3,3,3,4,2,3,5,4,4,3,2,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3
SYN_021_R4,SYN_021,SyntheticCo,3,3,4,4,3,3,3,3,4,3,3,4,4,4,4,4,3,4,3,4,4,4,3,4,5,3,3,3,3,4,3,3,2,3,2,4
SYN_021_R5,SYN_021,SyntheticCo,5,3,2,4,3,4,3,3,3,4,3,3,3,3,3,2,3,4,3,4,3,4,4,4,4,4,3,3,4,4,4,3,3,3,3,2
SYN_022_R1,SYN_022,SyntheticCo,3,2,2,4,4,2,3,3,4,3,3,5,3,4,3,4,3,2,4,3,3,3,3,4,4,2,3,4,4,4,4,3,3,3,4,3
SYN_022_R2,SYN_022,SyntheticCo,3,3,4,3,4,4,3,3,3,3,4,4,4,3,3,5,4,3,4,3,4,3,3,3,3,4,4,5,4,2,4,5,4,3,4,3
SYN_022_R3,SYN_022,SyntheticCo,2,3,3,2,2,3,3,3,3,4,3,5,3,3,4,5,4,3,3,2,3,3,3,4,3,4,3,4,3,4,4,4,3,4,3,3
SYN_022_R4,SYN_022,SyntheticCo,3,3,2,2,2,2,3,2,2,4,3,4,4,4,3,4,3,5,2,2,3,2,4,5,3,3,2,4,3,3,4,4,4,3,3,4
SYN_022_R5,SYN_022,SyntheticCo,3,4,3,2,2,2,2,3,3,4,4,4,4,4,4,5,4,3,3,3,4,3,4,2,4,4,3,5,4,3,4,2,3,4,3,3
SYN_023_R1,SYN_023,SyntheticCo,5,5,4,4,4,4,4,4,4,4,3,4,4,5,3,4,4,4,4,4,4,4,4,3,3,3,3,4,5,3,4,3,4,3,4,3
SYN_023_R2,SYN_023,SyntheticCo,5,4,4,3,5,5,5,5,5,4,4,4,3,4,4,4,4,5,4,4,5,5,4,3,3,4,3,3,3,3,4,4,4,4,3,4
SYN_023_R3,SYN_023,SyntheticCo,4,4,3,4,5,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,3,4,4,3,4
SYN_023_R4,SYN_023,SyntheticCo,4,3,4,4,4,5,4,4,3,4,4,3,4,4,4,4,4,4,3,3,4,5,5,3,3,3,4,3,4,4,4,4,4,4,3,5
SYN_023_R5,SYN_023,SyntheticCo,4,4,2,5,5,5,5,5,4,4,4,3,4,4,3,3,3,4,3,4,5,4,5,3,3,3,5,3,4,4,3,3,5,4,3,4
SYN_024_R1,SYN_024,SyntheticCo,3,5,3,3,4,2,3,4,3,2,3,4,3,2,3,3,3,4,4,3,2,2,4,2,3,3,3,3,3,4,4,4,3,3,3,3
SYN_024_R2,SYN_024,SyntheticCo,4,4,2,3,4,3,2,5,3,4,4,3,3,4,4,4,3,3,4,3,3,2,2,3,2,2,4,5,4,3,3,4,4,3,3,3
SYN_024_R3,SYN_024,SyntheticCo,4,3,3,4,4,4,4,3,4,4,5,2,3,3,3,4,3,4,4,4,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,4
SYN_024_R4,SYN_024,SyntheticCo,3,4,3,3,4,2,3,4,2,4,4,3,3,4,3,4,3,3,3,3,4,3,2,2,3,4,4,3,4,3,3,3,4,2,4,3
SYN_024_R5,SYN_024,SyntheticCo,3,4,3,3,3,3,3,2,3,4,4,3,3,3,4,3,3,4,3,3,3,3,3,4,3,2,3,3,3,3,3,3,4,3,3,5
SYN_025_R1,SYN_025,SyntheticCo,3,3,2,3,3,3,4,4,4,3,5,3,4,4,3,2,3,3,3,3,2,4,3,3,3,4,2,2,3,3,3,3,3,2,3,3
SYN_025_R2,SYN_025,SyntheticCo,4,3,3,4,4,4,3,3,2,4,4,3,3,4,2,3,2,4,4,2,2,3,3,3,5,4,3,3,3,3,3,4,2,4,3,4
SYN_025_R3,SYN_025,SyntheticCo,3,3,3,3,4,3,3,3,4,3,3,4,3,4,3,3,3,2,4,3,3,3,3,3,4,4,3,4,4,3,2,3,3,4,3,3
SYN_025_R4,SYN_025,SyntheticCo,3,2,3,2,4,4,5,4,3,4,3,3,4,2,3,2,3,3,3,3,4,3,3,3,3,4,3,4,3,3,3,3,4,3,4,3
SYN_025_R5,SYN_025,SyntheticCo,4,4,3,3,5,3,4,3,5,4,3,4,4,3,3,3,3,3,3,3,3,3,4,3,4,3,4,2,3,2,3,3,3,2,4,3
SYN_026_R1,SYN_026,SyntheticCo,2,4,3,4,3,4,4,3,3,4,3,4,5,4,3,4,4,4,4,3,3,4,3,4,4,3,4,4,3,5,4,4,5,3,4,4
SYN_026_R2,SYN_026,SyntheticCo,3,4,3,4,4,3,2,3,4,3,2,5,4,3,4,3,3,4,5,5,4,4,4,3,4,3,4,4,4,4,2,4,4,4,4,5
SYN_026_R3,SYN_026,SyntheticCo,4,4,4,4,3,2,3,4,3,4,3,5,4,4,4,4,2,4,4,5,4,3,4,4,4,4,4,5,4,4,4,4,4,4,3,5
SYN_026_R4,SYN_026,SyntheticCo,3,3,3,5,3,3,3,4,2,3,5,4,3,4,3,4,5,4,4,4,3,3,2,3,3,3,4,3,2,3,3,4,5,4,4,4
SYN_026_R5,SYN_026,SyntheticCo,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,2,4,4,4,5,4,4,4,5,3,2,3,4,4,4,5,4,4,3,3
SYN_027_R1,SYN_027,SyntheticCo,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,3,5,5,5,5,4,4,5,5,4,5,4,4,5
SYN_027_R2,SYN_027,SyntheticCo,5,4,4,4,3,4,4,4,4,5,4,3,4,4,4,4,5,3,4,4,3,4,4,5,4,5,4,4,4,4,5,3,4,3,5,4
SYN_027_R3,SYN_027,SyntheticCo,5,3,5,4,5,5,4,4,4,5,4,5,5,4,3,5,3,5,4,2,4,4,4,5,4,4,4,4,4,5,4,4,4,3,3,4
SYN_027_R4,SYN_027,SyntheticCo,5,5,3,2,5,4,5,4,4,4,4,4,4,4,4,5,4,3,5,4,4,4,4,4,5,5,4,3,5,4,5,3,4,4,5,4
SYN_027_R5,SYN_027,SyntheticCo,5,4,4,4,5,3,4,3,3,3,3,4,3,3,5,4,4,3,3,3,4,4,4,5,4,5,4,4,5,3,4,5,3,4,4,4
SYN_028_R1,SYN_028,SyntheticCo,3,4,4,4,3,4,3,4,5,4,3,4,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,5,4,5,4,2,3,3,3,3
SYN_028_R2,SYN_028,SyntheticCo,4,5,4,4,3,4,4,4,5,5,4,4,4,4,3,4,4,3,4,4,3,4,4,5,4,5,4,3,3,5,5,3,4,4,4,3
SYN_028_R3,SYN_028,SyntheticCo,5,4,4,3,4,3,4,3,4,4,4,4,4,5,4,4,3,4,4,3,4,3,5,5,4,3,4,3,4,4,4,3,3,3,3,3
SYN_028_R4,SYN_028,SyntheticCo,4,4,4,3,5,2,4,4,4,4,5,4,5,4,2,5,3,4,4,4,4,5,3,4,4,4,4,5,4,4,4,3,3,3,3,4
SYN_028_R5,SYN_028,SyntheticCo,4,3,3,4,3,4,4,3,3,5,4,4,4,4,3,4,3,4,4,3,4,3,4,4,5,3,5,4,5,4,5,2,4,3,2,3
SYN_029_R1,SYN_029,SyntheticCo,3,3,3,2,2,4,4,3,3,4,3,3,4,2,4,4,4,3,3,3,3,4,3,3,3,3,2,4,3,4,3,3,4,3,4,3
SYN_029_R2,SYN_029,SyntheticCo,3,3,4,3,3,3,4,4,4,4,3,2,2,4,4,4,3,3,4,3,4,5,3,2,2,4,4,3,3,3,4,3,3,4,3,3
